ID,Label,Type
"family:Antennariidae","Antennariidae","family"
"order:Lophiiformes","Lophiiformes","order"
"family:Pleurobranchaeidae","Pleurobranchaeidae","family"
"order:Pleurobranchomorpha","Pleurobranchomorpha","order"
"family:Pyrirhynchidae","Pyrirhynchidae","family"
"order:Heteramorphida","Heteramorphida","order"
"family:Tainoceratidae","Tainoceratidae","family"
"order:Nautilida","Nautilida","order"
"family:Rheidae","Rheidae","family"
"family:Actinocyclidae","Actinocyclidae","family"
"order:Nudibranchia","Nudibranchia","order"
"family:Tetillidae","Tetillidae","family"
"family:Geinitziidae","Geinitziidae","family"
"order:Grylloblattida / Reculida","Grylloblattida / Reculida","order"
"family:Bathysciadiidae","Bathysciadiidae","family"
"family:Polyplacotomidae","Polyplacotomidae","family"
"family:Terebratulidae","Terebratulidae","family"
"family:Luidiidae","Luidiidae","family"
"family:Hyalonematidae","Hyalonematidae","family"
"order:Amphidiscosida","Amphidiscosida","order"
"family:Amphoriscidae","Amphoriscidae","family"
"order:Leucosolenida","Leucosolenida","order"
"family:Meinertellidae","Meinertellidae","family"
"order:Archaeognatha","Archaeognatha","order"
"family:Lampeidae","Lampeidae","family"
"order:Cydippida","Cydippida","order"
"family:Synodontidae","Synodontidae","family"
"order:Aulopiformes","Aulopiformes","order"
"family:Acroporidae","Acroporidae","family"
"family:Meyliidae","Meyliidae","family"
"order:Desmoscolecida","Desmoscolecida","order"
"family:Cathartidae","Cathartidae","family"
"order:Not specified","Not specified","order"
"family:Thalassocalycidae","Thalassocalycidae","family"
"order:Thalassocalycida","Thalassocalycida","order"
"family:Scorpionidae","Scorpionidae","family"
"order:Scorpiones","Scorpiones","order"
"family:Lernaeopodidae","Lernaeopodidae","family"
"order:Siphonostomatoida","Siphonostomatoida","order"
"family:Trigoniidae","Trigoniidae","family"
"family:Heptageniidae","Heptageniidae","family"
"order:Ephemeroptera","Ephemeroptera","order"
"family:Antipathidae","Antipathidae","family"
"order:Antipatharia","Antipatharia","order"
"family:Chanidae","Chanidae","family"
"order:Gonorhynchiformes","Gonorhynchiformes","order"
"family:Scolopocryptopidae","Scolopocryptopidae","family"
"order:Scolopendromorpha","Scolopendromorpha","order"
"family:Nucinellidae","Nucinellidae","family"
"order:Solemyida","Solemyida","order"
"family:Craticulariidae","Craticulariidae","family"
"family:Streptaxidae","Streptaxidae","family"
"order:Stylommatophora","Stylommatophora","order"
"family:Lycosidae","Lycosidae","family"
"order:Araneae","Araneae","order"
"family:Pteroclidae","Pteroclidae","family"
"order:Pterocliformes","Pterocliformes","order"
"family:Notopteridae","Notopteridae","family"
"order:Osteoglossiformes","Osteoglossiformes","order"
"family:Microcionidae","Microcionidae","family"
"family:Stygocarididae","Stygocarididae","family"
"order:Anaspidacea","Anaspidacea","order"
"family:Philomedidae","Philomedidae","family"
"order:Myodocopida","Myodocopida","order"
"family:Desmoscolecidae","Desmoscolecidae","family"
"family:Caryophyllaeidae","Caryophyllaeidae","family"
"order:Caryophyllidea","Caryophyllidea","order"
"family:Asteronychidae","Asteronychidae","family"
"order:Euryalida","Euryalida","order"
"family:Fimbriidae","Fimbriidae","family"
"family:Galaxiidae","Galaxiidae","family"
"family:Dolichomacrostomidae","Dolichomacrostomidae","family"
"order:Macrostomorpha","Macrostomorpha","order"
"family:Pheronematidae","Pheronematidae","family"
"family:Muraenidae","Muraenidae","family"
"family:Soleidae","Soleidae","family"
"order:Unspecified (Flatfishes)","Unspecified (Flatfishes)","order"
"family:Pyralidae","Pyralidae","family"
"family:Halocyprididae","Halocyprididae","family"
"order:Halocyprida","Halocyprida","order"
"family:Schistosomatidae","Schistosomatidae","family"
"family:Stomiidae","Stomiidae","family"
"family:Tynommatidae","Tynommatidae","family"
"order:Callipodida","Callipodida","order"
"family:Ptychogastriidae","Ptychogastriidae","family"
"order:Trachymedusae","Trachymedusae","order"
"family:Stichocotylidae","Stichocotylidae","family"
"order:Stichocotylida","Stichocotylida","order"
"family:Neocentrophyidae","Neocentrophyidae","family"
"family:Temnopleuridae","Temnopleuridae","family"
"order:Echinoida","Echinoida","order"
"family:Tinamidae","Tinamidae","family"
"order:Tinamiformes","Tinamiformes","order"
"family:Sphaerotheriidae","Sphaerotheriidae","family"
"order:Diplopoda","Diplopoda","order"
"family:Pholadidae","Pholadidae","family"
"family:Tripylidae","Tripylidae","family"
"order:Enoplida","Enoplida","order"
"family:Sulidae","Sulidae","family"
"family:Gnathophausiidae","Gnathophausiidae","family"
"order:Lophogastrida","Lophogastrida","order"
"family:Phalacrocoracidae","Phalacrocoracidae","family"
"family:Minchinellidae","Minchinellidae","family"
"order:Lithonida","Lithonida","order"
"family:Themistidae","Themistidae","family"
"order:Sipunculida","Sipunculida","order"
"family:Gomphidae","Gomphidae","family"
"order:Odonata","Odonata","order"
"family:Krohnittidae","Krohnittidae","family"
"order:Aphragmophora","Aphragmophora","order"
"family:Spadellidae","Spadellidae","family"
"order:Phragmophora","Phragmophora","order"
"family:Polycopidae","Polycopidae","family"
"family:Chernetidae","Chernetidae","family"
"order:Pseudoscorpiones","Pseudoscorpiones","order"
"family:Monodellidae","Monodellidae","family"
"order:Thermosbaenacea","Thermosbaenacea","order"
"family:Halicryptidae","Halicryptidae","family"
"order:Priapulida","Priapulida","order"
"family:Holocentridae","Holocentridae","family"
"order:Beryciformes","Beryciformes","order"
"family:Clionaidae","Clionaidae","family"
"order:Hadromerida","Hadromerida","order"
"family:Stelligeridae","Stelligeridae","family"
"order:Axinellida","Axinellida","order"
"family:Rugogastridae","Rugogastridae","family"
"order:Aspidogastrida","Aspidogastrida","order"
"family:Gadilidae","Gadilidae","family"
"order:Gadilida","Gadilida","order"
"family:Propeamussiidae","Propeamussiidae","family"
"order:Pectinida","Pectinida","order"
"family:Dalatiidae","Dalatiidae","family"
"order:Squaliformes","Squaliformes","order"
"family:Barentsiidae","Barentsiidae","family"
"order:Solitaria","Solitaria","order"
"family:Ergasilidae","Ergasilidae","family"
"order:Copepoda","Copepoda","order"
"family:Limnognathiidae","Limnognathiidae","family"
"family:Fredericellidae","Fredericellidae","family"
"order:Plumatellida","Plumatellida","order"
"family:Hirsutiidae","Hirsutiidae","family"
"order:Bochusacea/Mictacea","Bochusacea/Mictacea","order"
"family:Brachypauropodidae","Brachypauropodidae","family"
"order:Tetramerocerata","Tetramerocerata","order"
"family:Amphilinidae","Amphilinidae","family"
"order:Amphilinidea","Amphilinidea","order"
"family:Glyptocidaridae","Glyptocidaridae","family"
"order:Stomopneustoida","Stomopneustoida","order"
"family:Narcinidae","Narcinidae","family"
"order:Torpediniformes","Torpediniformes","order"
"family:Onuphidae","Onuphidae","family"
"family:Phasmatidae","Phasmatidae","family"
"order:Phasmatodea","Phasmatodea","order"
"family:Chtenopterygidae","Chtenopterygidae","family"
"family:Blenniidae","Blenniidae","family"
"order:Blenniiformes","Blenniiformes","order"
"family:Aplysiidae","Aplysiidae","family"
"order:Anaspidea","Anaspidea","order"
"family:Acroreiidae","Acroreiidae","family"
"family:Caudinidae","Caudinidae","family"
"family:Stichasteridae","Stichasteridae","family"
"order:Forcipulatida","Forcipulatida","order"
"family:Tulumellidae","Tulumellidae","family"
"family:Neanuridae","Neanuridae","family"
"order:Poduromorpha","Poduromorpha","order"
"family:Chirocephalidae","Chirocephalidae","family"
"order:Anostraca (inferred)","Anostraca (inferred)","order"
"family:Hemipneustidae","Hemipneustidae","family"
"family:Zelinkaderidae","Zelinkaderidae","family"
"order:Cyclorhagida","Cyclorhagida","order"
"family:Lichenoporidae","Lichenoporidae","family"
"order:Cyclostomatida","Cyclostomatida","order"
"family:Cypraeidae","Cypraeidae","family"
"order:Not specified in context","Not specified in context","order"
"family:Scheloribatidae","Scheloribatidae","family"
"family:Oncholaimidae","Oncholaimidae","family"
"family:Zenarchopteridae","Zenarchopteridae","family"
"order:Beloniformes","Beloniformes","order"
"family:Trochilidae","Trochilidae","family"
"family:Bathynellidae","Bathynellidae","family"
"order:Bathynellacea","Bathynellacea","order"
"family:Tylodinidae","Tylodinidae","family"
"family:Asellidae","Asellidae","family"
"order:Isopoda","Isopoda","order"
"family:Lumbrineridae","Lumbrineridae","family"
"order:Eunicida","Eunicida","order"
"family:Ramphastidae","Ramphastidae","family"
"family:Soricidae","Soricidae","family"
"family:Nephtheidae","Nephtheidae","family"
"family:Mantophasmatidae","Mantophasmatidae","family"
"order:Mantophasmatodea","Mantophasmatodea","order"
"family:Diphyidae","Diphyidae","family"
"order:Siphonophorae","Siphonophorae","order"
"family:Mertensiidae","Mertensiidae","family"
"family:Lauridae","Lauridae","family"
"order:Laurida","Laurida","order"
"family:Ophiodermatidae","Ophiodermatidae","family"
"order:Ophiacanthida","Ophiacanthida","order"
"family:Geoplanidae","Geoplanidae","family"
"order:Unclear from context","Unclear from context","order"
"family:Chirodropidae","Chirodropidae","family"
"order:Chirodropida","Chirodropida","order"
"family:Ateleopodidae","Ateleopodidae","family"
"order:Ateleopodiformes","Ateleopodiformes","order"
"family:Siphoniulidae","Siphoniulidae","family"
"order:Siphoniulida","Siphoniulida","order"
"family:Nereididae","Nereididae","family"
"family:Astropectinidae","Astropectinidae","family"
"order:Paxillosida","Paxillosida","order"
"family:Balaenopteridae","Balaenopteridae","family"
"family:Hamacanthidae","Hamacanthidae","family"
"order:Merliida","Merliida","order"
"family:Loxosomatidae","Loxosomatidae","family"
"order:Coloniales","Coloniales","order"
"family:Equidae","Equidae","family"
"order:Perissodactyla","Perissodactyla","order"
"family:Tetrabothriidae","Tetrabothriidae","family"
"order:Tetrabothriidea","Tetrabothriidea","order"
"family:Phalangeridae","Phalangeridae","family"
"order:Diprotodontia","Diprotodontia","order"
"family:Panorpidae","Panorpidae","family"
"family:Ateluridae","Ateluridae","family"
"order:Zygentoma","Zygentoma","order"
"family:Cariamidae","Cariamidae","family"
"order:Cariamiformes","Cariamiformes","order"
"family:Thalassematidae","Thalassematidae","family"
"family:Menoponidae","Menoponidae","family"
"order:Phthiraptera","Phthiraptera","order"
"family:Rhabderemiidae","Rhabderemiidae","family"
"order:Biemnida","Biemnida","order"
"family:Bellinuridae","Bellinuridae","family"
"order:Xiphosura","Xiphosura","order"
"family:Ophidiidae","Ophidiidae","family"
"order:Ophidiiformes","Ophidiiformes","order"
"family:Albulidae","Albulidae","family"
"order:Albuliformes","Albuliformes","order"
"family:Euphausiidae","Euphausiidae","family"
"order:Euphausiacea","Euphausiacea","order"
"family:Guadalupiidae","Guadalupiidae","family"
"family:Golfingiidae","Golfingiidae","family"
"order:Sipuncula","Sipuncula","order"
"family:Hylidae","Hylidae","family"
"family:Freyellidae","Freyellidae","family"
"order:Brisingida","Brisingida","order"
"family:Callochitonidae","Callochitonidae","family"
"order:Chitonida","Chitonida","order"
"family:Polypteridae","Polypteridae","family"
"order:Polypteriformes","Polypteriformes","order"
"family:Manidae","Manidae","family"
"family:Phoeniculidae","Phoeniculidae","family"
